Feature,Estimate,Std Error,t-stat,p-Value
SKILLS_VEC_85,-1196.8816,1187.3757,-3.0436, 0.0023
SKILLS_VEC_86,-3613.8557,1131.1075, 3.3344, 0.0009
SKILLS_VEC_87, 3771.5800,1184.1962, 1.5364, 0.1244
SKILLS_VEC_88, 1819.4119,1192.7479,-3.0975, 0.0020
SKILLS_VEC_89,-3694.4885,1221.1484,-0.1313, 0.8955
SKILLS_VEC_90,-160.3408,1012.5202,-1.3869, 0.1655
SKILLS_VEC_91,-1404.2392,1123.8251, 0.0548, 0.9563
SKILLS_VEC_92, 61.6168,1223.7907,-3.5567, 0.0004
SKILLS_VEC_93,-4352.6254,1147.7021, 1.3014, 0.1931
SKILLS_VEC_94, 1493.6492,1243.1538, 3.6778, 0.0002
SKILLS_VEC_95, 4572.0576,1037.6855, 3.0393, 0.0024
SKILLS_VEC_96, 3153.8314,1089.0886, 0.9439, 0.3452
SKILLS_VEC_97, 1027.9907,1227.0467,-3.5704, 0.0004
SKILLS_VEC_98,-4380.9863,1128.6515, 2.0604, 0.0394
SKILLS_VEC_99, 2325.5269,1783.0520, 0.8119, 0.4169
SKILLS_VEC_100, 1447.6565,1340.5808, 3.1022, 0.0019
SKILLS_VEC_101, 4158.7019,1310.3157, 3.1766, 0.0015
SKILLS_VEC_102, 4162.2901,1208.2796, 4.7420, 0.0000
SKILLS_VEC_103, 5729.6970,1566.7352,-11.5714, 0.0000
SKILLS_VEC_104,-18129.2903,1148.2184, 1.3109, 0.1899
SKILLS_VEC_105, 1505.2321,1188.6855, 6.2398, 0.0000
SKILLS_VEC_106, 7417.1822,1291.3371, 0.1423, 0.8869
SKILLS_VEC_107, 183.7286,1310.3340,-1.1223, 0.2618
SKILLS_VEC_108,-1470.5272,1130.9129, 0.3512, 0.7254
SKILLS_VEC_109, 397.2198,1468.3560, 4.0647, 0.0000
SKILLS_VEC_110, 5968.3958,1332.2071,-0.3697, 0.7116
SKILLS_VEC_111,-492.4817,1217.7284, 6.2596, 0.0000
